*****
Patient: *id_1*
Time: *14-03-33-03-02-2016*
-----
Time;Position;Rotation.X;Rotation.Y;Focus;FPS;Input;
38.1662;(-474.6000, 101.7761, -181.3600);6.1181;0.0000;[no object in focus];Infinity;;
38.6548;(-474.6000, 101.7682, -181.3600);6.1181;0.0000;[no object in focus];198.1630;;
38.7322;(-474.6000, 101.6976, -181.3600);6.1181;0.0000;[no object in focus];127.3293;;
38.7938;(-474.6000, 101.6387, -181.3600);6.1181;0.0000;[no object in focus];87.3101;;
38.8478;(-474.6000, 101.5210, -181.3600);6.1181;0.0000;[no object in focus];59.9558;;
38.8693;(-474.6000, 101.4229, -181.3600);6.1181;0.0000;[no object in focus];49.0461;;
38.9039;(-474.6000, 101.3091, -181.3600);6.1181;0.0000;[no object in focus];45.7640;;
38.9528;(-474.6000, 101.2512, -181.3600);6.1181;0.0000;[no object in focus];44.7660;;
39.0033;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];47.9278;;
39.0528;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];50.8193;;
39.1033;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];52.9331;;
39.1706;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];53.8763;;
39.2248;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];50.0232;;
39.2541;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];41.6842;;
39.3042;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];45.4169;;
39.3543;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];48.6313;;
39.4382;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];50.4837;;
39.4559;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];44.5808;;
39.5056;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];43.8991;;
39.5546;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];43.4111;;
39.6046;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];46.9082;;
39.7064;(95.4746, 103.0021, -358.6252);6.1181;0.0000;[no object in focus];47.9629;;
39.7100;(95.4746, 102.9747, -358.6252);6.1181;0.0000;[no object in focus];36.9832;;
39.7505;(95.4746, 102.9315, -358.6252);6.1181;0.0000;[no object in focus];37.8787;;
39.8004;(95.4746, 102.8373, -358.6252);6.1181;0.0000;[no object in focus];42.0989;;
39.8523;(95.4746, 102.7549, -358.6252);6.1181;0.0000;[no object in focus];45.4327;;
39.9190;(95.4746, 102.5430, -358.6252);6.1181;0.0000;[no object in focus];47.2704;;
39.9527;(95.4746, 102.4802, -358.6252);6.1181;0.0000;[no object in focus];47.1265;;
