*****
Patient: *id_1*
Time: *12-13-58-15-01-2016*
-----
Time;Position;Rotation.X;Rotation.Y;Focus;FPS;Input;
22.1382;(-474.6000, 101.7761, -181.3600);6.1181;0.0000;[no object in focus];Infinity;;
22.3105;(-474.6000, 101.7565, -181.3600);6.1181;0.0000;[no object in focus];204.1585;;
22.3649;(-474.6000, 101.6976, -181.3600);6.1181;0.0000;[no object in focus];118.7060;;
22.3876;(-474.6000, 101.6387, -181.3600);6.1181;0.0000;[no object in focus];76.9640;;
22.4376;(-474.6000, 101.5642, -181.3600);6.1181;0.0000;[no object in focus];68.0151;;
22.4867;(-474.6000, 101.4229, -181.3600);6.1181;0.0000;[no object in focus];66.3366;;
22.5375;(-474.6000, 101.3091, -181.3600);6.1181;0.0000;[no object in focus];63.9707;;
22.5875;(-474.6000, 101.2521, -181.3600);6.1181;0.0000;[no object in focus];63.2096;;
22.6378;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];61.9567;;
22.6873;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];61.5307;;
22.7374;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];61.2139;;
22.7877;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];60.6126;;
22.8388;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];60.4009;;
22.8883;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];59.7738;;
22.9386;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];60.2208;;
22.9877;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];59.7582;;
23.0382;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];60.2659;;
23.0879;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];60.1960;;
23.1383;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];60.1258;;
23.1881;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];60.0715;;
23.2451;(-236.6499, 103.0139, -616.3500);6.1181;0.0000;[no object in focus];59.9991;;
23.2939;(-236.6499, 102.9904, -616.3500);6.1181;0.0000;[no object in focus];59.9991;;
23.5071;(-236.6499, 102.9315, -616.3500);6.1181;0.0000;[no object in focus];48.9787;;
23.5079;(-236.6499, 102.8727, -616.3500);6.1181;0.0000;[no object in focus];48.9787;;
23.5089;(-236.6499, 102.7549, -616.3500);6.1181;0.0000;[no object in focus];48.9787;;
23.5096;(-236.6499, 102.6568, -616.3500);6.1181;0.0000;[no object in focus];48.9787;;
23.5440;(-236.6499, 102.5430, -616.3500);6.1181;0.0000;[no object in focus];27.9494;;
23.5934;(-236.6499, 102.3429, -616.3500);6.1181;0.0000;[no object in focus];29.1567;;
23.6370;(-236.6499, 102.1899, -616.3500);6.1181;0.0000;[no object in focus];31.7705;;
23.6832;(-236.6499, 102.0211, -616.3500);6.1181;0.0000;[no object in focus];33.4601;;
23.7311;(-236.6499, 101.7386, -616.3500);6.1181;0.0000;[no object in focus];34.8049;;
23.7759;(-236.6499, 101.5306, -616.3500);6.1181;0.0000;[no object in focus];36.3974;;
23.8263;(-236.6499, 101.1892, -616.3500);6.1181;0.0000;[no object in focus];36.9886;;
23.8919;(-236.6499, 101.2519, -616.3500);6.1181;0.0000;[no object in focus];38.8811;;
23.9337;(-236.6499, 101.2523, -616.3500);6.1181;0.0000;[no object in focus];40.2591;;
23.9788;(-236.6499, 101.2524, -616.3500);6.1181;0.0000;[no object in focus];41.0281;;
24.0278;(-236.6499, 101.2524, -616.3500);6.1181;0.0000;[no object in focus];41.0152;;
24.0922;(-236.6499, 101.2524, -616.3500);6.1181;0.0000;[no object in focus];41.7688;;
24.1390;(-236.6499, 101.2524, -616.3500);6.1181;0.0000;[no object in focus];42.3276;;
24.1824;(-236.6499, 101.2524, -616.3500);6.1181;0.0000;[no object in focus];43.0055;;
24.2271;(-236.6499, 101.2524, -616.3500);6.1181;0.0000;[no object in focus];43.2836;;
24.2926;(-236.6499, 101.2524, -616.3500);6.1181;0.0000;[no object in focus];43.6437;;
24.3429;(-236.6416, 101.2524, -616.2721);6.1181;0.0000;[no object in focus];42.9931;;
24.3826;(-236.6239, 101.2524, -616.1070);6.1181;0.0000;[no object in focus];44.1646;;
24.4265;(-236.5836, 101.2524, -615.7312);6.1181;0.0000;[no object in focus];44.4618;;
24.4925;(-236.5308, 101.2524, -615.2390);6.1181;0.0000;[no object in focus];44.9403;;
24.5339;(-236.4904, 101.2524, -614.8622);6.1181;0.0000;[no object in focus];45.2468;;
24.5770;(-236.4468, 101.2524, -614.4550);6.1181;0.0000;[no object in focus];45.5748;;
24.6273;(-236.3765, 101.2524, -613.7994);6.1181;0.0000;[no object in focus];44.3893;;
24.6935;(-236.3019, 101.2524, -613.1032);6.1181;0.0000;[no object in focus];45.3598;;
